"","country","gdpPercap","lifeExp"
"1","Afghanistan",974.5803384,43.828
"2","Albania",5937.029526,76.423
"3","Algeria",6223.367465,72.301
"4","Angola",4797.231267,42.731
"5","Argentina",12779.37964,75.32
"6","Australia",34435.36744,81.235
"7","Austria",36126.4927,79.829
"8","Bahrain",29796.04834,75.635
"9","Bangladesh",1391.253792,64.062
"10","Belgium",33692.60508,79.441
"11","Benin",1441.284873,56.728
"12","Bolivia",3822.137084,65.554
"13","Bosnia and Herzegovina",7446.298803,74.852
"14","Botswana",12569.85177,50.728
"15","Brazil",9065.800825,72.39
"16","Bulgaria",10680.79282,73.005
"17","Burkina Faso",1217.032994,52.295
"18","Burundi",430.0706916,49.58
"19","Cambodia",1713.778686,59.723
"20","Cameroon",2042.09524,50.43
"21","Canada",36319.23501,80.653
"22","Central African Republic",706.016537,44.741
"23","Chad",1704.063724,50.651
"24","Chile",13171.63885,78.553
"25","China",4959.114854,72.961
"26","Colombia",7006.580419,72.889
"27","Comoros",986.1478792,65.152
"28","Congo, Dem. Rep.",277.5518587,46.462
"29","Congo, Rep.",3632.557798,55.322
"30","Costa Rica",9645.06142,78.782
"31","Cote d'Ivoire",1544.750112,48.328
"32","Croatia",14619.22272,75.748
"33","Cuba",8948.102923,78.273
"34","Czech Republic",22833.30851,76.486
"35","Denmark",35278.41874,78.332
"36","Djibouti",2082.481567,54.791
"37","Dominican Republic",6025.374752,72.235
"38","Ecuador",6873.262326,74.994
"39","Egypt",5581.180998,71.338
"40","El Salvador",5728.353514,71.878
"41","Equatorial Guinea",12154.08975,51.579
"42","Eritrea",641.3695236,58.04
"43","Ethiopia",690.8055759,52.947
"44","Finland",33207.0844,79.313
"45","France",30470.0167,80.657
"46","Gabon",13206.48452,56.735
"47","Gambia",752.7497265,59.448
"48","Germany",32170.37442,79.406
"49","Ghana",1327.60891,60.022
"50","Greece",27538.41188,79.483
"51","Guatemala",5186.050003,70.259
"52","Guinea",942.6542111,56.007
"53","Guinea-Bissau",579.231743,46.388
"54","Haiti",1201.637154,60.916
"55","Honduras",3548.330846,70.198
"56","Hong Kong, China",39724.97867,82.208
"57","Hungary",18008.94444,73.338
"58","Iceland",36180.78919,81.757
"59","India",2452.210407,64.698
"60","Indonesia",3540.651564,70.65
"61","Iran",11605.71449,70.964
"62","Iraq",4471.061906,59.545
"63","Ireland",40675.99635,78.885
"64","Israel",25523.2771,80.745
"65","Italy",28569.7197,80.546
"66","Jamaica",7320.880262,72.567
"67","Japan",31656.06806,82.603
"68","Jordan",4519.461171,72.535
"69","Kenya",1463.249282,54.11
"70","Korea, Dem. Rep.",1593.06548,67.297
"71","Korea, Rep.",23348.13973,78.623
"72","Kuwait",47306.98978,77.588
"73","Lebanon",10461.05868,71.993
"74","Lesotho",1569.331442,42.592
"75","Liberia",414.5073415,45.678
"76","Libya",12057.49928,73.952
"77","Madagascar",1044.770126,59.443
"78","Malawi",759.3499101,48.303
"79","Malaysia",12451.6558,74.241
"80","Mali",1042.581557,54.467
"81","Mauritania",1803.151496,64.164
"82","Mauritius",10956.99112,72.801
"83","Mexico",11977.57496,76.195
"84","Mongolia",3095.772271,66.803
"85","Montenegro",9253.896111,74.543
"86","Morocco",3820.17523,71.164
"87","Mozambique",823.6856205,42.082
"88","Myanmar",944,62.069
"89","Namibia",4811.060429,52.906
"90","Nepal",1091.359778,63.785
"91","Netherlands",36797.93332,79.762
"92","New Zealand",25185.00911,80.204
"93","Nicaragua",2749.320965,72.899
"94","Niger",619.6768924,56.867
"95","Nigeria",2013.977305,46.859
"96","Norway",49357.19017,80.196
"97","Oman",22316.19287,75.64
"98","Pakistan",2605.94758,65.483
"99","Panama",9809.185636,75.537
"100","Paraguay",4172.838464,71.752
"101","Peru",7408.905561,71.421
"102","Philippines",3190.481016,71.688
"103","Poland",15389.92468,75.563
"104","Portugal",20509.64777,78.098
"105","Puerto Rico",19328.70901,78.746
"106","Reunion",7670.122558,76.442
"107","Romania",10808.47561,72.476
"108","Rwanda",863.0884639,46.242
"109","Sao Tome and Principe",1598.435089,65.528
"110","Saudi Arabia",21654.83194,72.777
"111","Senegal",1712.472136,63.062
"112","Serbia",9786.534714,74.002
"113","Sierra Leone",862.5407561,42.568
"114","Singapore",47143.17964,79.972
"115","Slovak Republic",18678.31435,74.663
"116","Slovenia",25768.25759,77.926
"117","Somalia",926.1410683,48.159
"118","South Africa",9269.657808,49.339
"119","Spain",28821.0637,80.941
"120","Sri Lanka",3970.095407,72.396
"121","Sudan",2602.394995,58.556
"122","Swaziland",4513.480643,39.613
"123","Sweden",33859.74835,80.884
"124","Switzerland",37506.41907,81.701
"125","Syria",4184.548089,74.143
"126","Taiwan",28718.27684,78.4
"127","Tanzania",1107.482182,52.517
"128","Thailand",7458.396327,70.616
"129","Togo",882.9699438,58.42
"130","Trinidad and Tobago",18008.50924,69.819
"131","Tunisia",7092.923025,73.923
"132","Turkey",8458.276384,71.777
"133","Uganda",1056.380121,51.542
"134","United Kingdom",33203.26128,79.425
"135","United States",42951.65309,78.242
"136","Uruguay",10611.46299,76.384
"137","Venezuela",11415.80569,73.747
"138","Vietnam",2441.576404,74.249
"139","West Bank and Gaza",3025.349798,73.422
"140","Yemen, Rep.",2280.769906,62.698
"141","Zambia",1271.211593,42.384
"142","Zimbabwe",469.7092981,43.487
